,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,proportion_of_max_diameter_to_earth
85,2250680-250680 (2005 QC5),1,305.1792325939,682.4015094011,1995-01-11,1995-01-11 10:29:00,Earth,12.2268409668,733.6104580080533,An asteroid orbit contained entirely within the orbit of the Eart,2250680,250680 (2005 QC5),5.355529033127453e-05
86,3170204-(2003 YS17),1,127.2198785394,284.4722965033,1995-01-11,1995-01-11 04:16:00,Earth,7.7685401427,466.1124085622217,An asteroid orbit contained entirely within the orbit of the Eart,3170204,(2003 YS17),2.2325560861976142e-05
87,3401191-(2008 BP16),0,121.4940407996,271.6689340891,1995-01-11,1995-01-11 16:14:00,Earth,18.0991616726,1085.9497003558383,An asteroid orbit contained entirely within the orbit of the Eart,3401191,(2008 BP16),2.1320745101954168e-05
88,3740043-(2016 AG165),0,183.8886720703,411.1875710413,1995-01-11,1995-01-11 06:39:00,Earth,8.6060682262,,Near Earth asteroid orbits similar to that of 2062 Aten,3740043,(2016 AG165),3.227025357410924e-05
89,3655395-(2013 YM2),0,19.2555078188,43.0566244241,1995-01-11,1995-01-11 12:22:00,Earth,11.9321657219,715.9299433135317,An asteroid orbit contained entirely within the orbit of the Eart,3655395,(2013 YM2),3.379110377028724e-06
90,3771630-(2017 FP2),0,192.5550781879,430.566244241,1995-01-11,1995-01-11 20:11:00,Earth,16.3288487248,,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3771630,(2017 FP2),3.379110377028724e-05
91,3893736-(2019 WD5),1,116.0259082094,259.4418179074,1995-01-11,1995-01-11 03:22:00,Earth,14.2571658357,855.4299501421984,Near Earth asteroid orbits similar to that of 1221 Amor,3893736,(2019 WD5),2.0361153500816198e-05
92,3837639-(2019 AT3),0,101.054341542,225.9643771094,1995-01-18,1995-01-18 08:12:00,Earth,28.5824222435,1714.94533460928,An asteroid orbit contained entirely within the orbit of the Eart,3837639,(2019 AT3),1.7733823348720767e-05
93,3753133-(2016 JU24),0,506.4714588346,1132.5046106177,1995-01-18,1995-01-18 14:42:00,Earth,16.4888463368,989.3307802081432,An asteroid orbit contained entirely within the orbit of the Eart,3753133,(2016 JU24),8.887965865780098e-05
94,3837525-(2018 YK2),0,73.2073989347,163.696720474,1995-01-18,1995-01-18 02:30:00,Earth,26.2464317638,1574.7859058282584,An asteroid orbit contained entirely within the orbit of the Eart,3837525,(2018 YK2),1.2847019343431171e-05
95,3797900-(2018 BJ5),0,127.2198785394,284.4722965033,1995-01-18,1995-01-18 05:14:00,Earth,11.9652284017,717.9137040995582,Near Earth asteroid orbits similar to that of 2062 Aten,3797900,(2018 BJ5),2.2325560861976142e-05
96,3704767-(2015 BE92),0,6.3760978988,14.2573883328,1995-01-18,1995-01-18 04:54:00,Earth,16.0531518159,963.1891089523916,Near Earth asteroid orbits similar to that of 1221 Amor,3704767,(2015 BE92),1.1189286087584367e-06
97,3797753-(2018 BV1),0,36.6906137531,82.0427064882,1995-01-18,1995-01-18 00:18:00,Earth,15.980210136,958.8126081570716,An asteroid orbit contained entirely within the orbit of the Eart,3797753,(2018 BV1),6.438762085088683e-06
98,3836878-(2018 XP3),0,69.9125232246,156.3291544087,1995-01-18,1995-01-18 09:17:00,Earth,8.8286222565,529.71733538928,An asteroid orbit contained entirely within the orbit of the Eart,3836878,(2018 XP3),1.2268808225451263e-05
99,3748182-(2016 FJ3),0,80.2703167283,179.4898847799,1995-01-18,1995-01-18 10:33:00,Earth,13.299028136,797.94168816174,An asteroid orbit contained entirely within the orbit of the Eart,3748182,(2016 FJ3),1.408647659550306e-05
100,2443103-443103 (2013 WT67),1,667.6594134952,1492.931834393,1995-01-19,1995-01-19 21:55:00,Earth,13.6305303871,817.8318232245667,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2443103,443103 (2013 WT67),0.00011716620894624077
101,3283218-(2005 MF5),0,121.4940407996,271.6689340891,1995-01-19,1995-01-19 16:36:00,Earth,26.2349697378,1574.0981842662718,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3283218,(2005 MF5),2.1320745101954168e-05
102,3625335-(2013 BC70),0,40.2304579834,89.9580388169,1995-01-16,1995-01-16 14:33:00,Earth,18.6159784305,1116.9587058277434,Near Earth asteroid orbits similar to that of 1221 Amor,3625335,(2013 BC70),7.059962236454246e-06
103,3749034-(2016 GN2),0,26.58,59.4346868419,1995-01-16,1995-01-16 03:28:00,Earth,13.3072235301,,Near Earth asteroid orbits similar to that of 2062 Aten,3749034,(2016 GN2),4.664470792803328e-06
104,2002340-2340 Hathor (1976 UA),1,242.4124811008,542.0507863358,1995-01-16,1995-01-16 06:35:00,Earth,15.9597865749,957.5871944956916,Near Earth asteroid orbits similar to that of 2062 Aten,2002340,2340 Hathor (1976 UA),4.254047922899074e-05
105,3767255-(2017 BO32),0,36.6906137531,82.0427064882,1995-01-16,1995-01-16 06:16:00,Earth,7.3611501507,,An asteroid orbit contained entirely within the orbit of the Eart,3767255,(2017 BO32),6.438762085088683e-06
106,54016993-(2020 JG1),0,16.8249962697,37.6218353801,1995-01-16,1995-01-16 21:06:00,Earth,9.1421510542,548.5290632520117,An asteroid orbit contained entirely within the orbit of the Eart,54016993,(2020 JG1),2.952584788894993e-06
107,3102762-(2002 AA29),0,40.2304579834,89.9580388169,1995-01-17,1995-01-17 02:46:00,Earth,12.9913363165,779.4801789915899,Near Earth asteroid orbits similar to that of 1221 Amor,3102762,(2002 AA29),7.059962236454246e-06
108,3956448-(2019 YP3),0,19.2555078188,43.0566244241,1995-01-17,1995-01-17 15:08:00,Earth,17.2344315811,1034.0658948641517,Near Earth asteroid orbits similar to that of 1221 Amor,3956448,(2019 YP3),3.379110377028724e-06
109,3042899-(1999 VX15),0,461.9074602816,1032.8564805039,1995-01-21,1995-01-21 14:57:00,Earth,5.9359623692,,An asteroid orbit contained entirely within the orbit of the Eart,3042899,(1999 VX15),8.105921209416889e-05
